,intervals,Anomaly_Score,timestamps,Data
839,0.005117893218994141,0.010896433452917464,1671030741.616659,213#FFFF087F2F07FF50
849,0.005620002746582031,0.024032742180205013,1671030741.627907,2A4#2100000000000000
899,0.005570173263549805,0.020122735950283133,1671030741.656511,213#FFFF087F2F07FF50
918,0.005027055740356445,0.008051543381530135,1671030741.676568,213#FFFF087F2F07FF50
926,0.006330966949462891,0.059331286876983524,1671030741.688302,22C#0802000000000000
955,0.005381107330322266,0.017191945903766492,1671030741.716391,213#FFFF087F2F07FF50
966,0.00556492805480957,0.020122735950283133,1671030741.727818,2A4#2100000000000000
1001,0.005614042282104492,0.02359712035728434,1671030741.756567,213#FFFF087F2F07FF50
1013,0.004873037338256836,0.0008814123069266211,1671030741.767668,2A4#25030B0000000000
1016,0.005445003509521484,0.020740330749707825,1671030741.776429,213#FFFF087F2F07FF50
1025,0.006546974182128906,0.06738336670218281,1671030741.788590,290#0000000000000000
1052,0.005422830581665039,0.021174019053852522,1671030741.816393,213#FFFF087F2F07FF50
1064,0.004873037338256836,0.0008814123069266211,1671030741.827615,2A4#2100000000000000
1100,0.005114078521728516,0.010469696470692513,1671030741.856663,213#FFFF087F2F07FF50
1116,0.005670070648193359,0.02409738921215543,1671030741.876614,213#FFFF087F2F07FF50
1126,0.005849123001098633,0.03449963542991097,1671030741.888518,2A0#FFFFFFFF00001E00
1143,0.005160093307495117,0.009866448497017566,1671030741.907439,346#000000030300C000
1167,0.005385160446166992,0.016330247412108645,1671030741.927586,2A4#2100000000000000
1202,0.005653858184814453,0.02665267165204266,1671030741.956585,213#FFFF087F2F07FF50
1214,0.005507946014404297,0.019938063519443938,1671030741.967517,2A4#25030B0000000000
1220,0.00486302375793457,0.00046144905918765744,1671030741.976389,213#FFFF087F2F07FF50
1229,0.004806041717529297,0.004870716837931388,1671030741.988543,091#0E01010C15180000
1309,0.005140066146850586,0.009440408152823987,1671030742.027504,2A4#2100000000000000
1344,0.0056018829345703125,0.020556006256848613,1671030742.056553,213#FFFF087F2F07FF50
1361,0.005350828170776367,0.015469714158703018,1671030742.076356,213#FFFF087F2F07FF50
1371,0.006844043731689453,0.07863687861805091,1671030742.088743,412#0000000000000000
1387,0.004769086837768555,0.0027602663888438572,1671030742.107311,346#000000030300C000
1395,0.005435943603515625,0.021608000884855816,1671030742.116407,213#FFFF087F2F07FF50
1407,0.004664182662963867,0.00016075488347744304,1671030742.127381,2A4#2100000000000000
1450,0.005115985870361328,0.010469696470692513,1671030742.156659,213#FFFF087F2F07FF50
1462,0.005337953567504883,0.015469714158703018,1671030742.167348,2A4#25030B0000000000
1467,0.00542902946472168,0.021608000884855816,1671030742.176393,213#FFFF087F2F07FF50
1478,0.005769968032836914,0.029245492259004746,1671030742.188478,290#0000000000000000
1493,0.004889965057373047,0.0017221917073737547,1671030742.207169,287#0000000000000000
1503,0.0048770904541015625,0.0017221917073737547,1671030742.216325,213#FFFF087F2F07FF50
1514,0.0052640438079833984,0.014737753524139863,1671030742.227485,591#9100FFFFFFFFFFFF
1549,0.005714893341064453,0.030124679136234844,1671030742.256639,213#FFFF087F2F07FF50
1568,0.004948854446411133,0.008215627069434683,1671030742.276439,213#FFFF087F2F07FF50
1576,0.00653386116027832,0.06691842436001028,1671030742.288513,3CA#05BC00003C000000
1602,0.0054378509521484375,0.021608000884855816,1671030742.316398,213#FFFF087F2F07FF50
1613,0.005166053771972656,0.011573495332079076,1671030742.327332,2A4#2100000000000000
1649,0.0055980682373046875,0.020122735950283133,1671030742.356553,213#FFFF087F2F07FF50
1665,0.005444049835205078,0.021608000884855816,1671030742.376389,213#FFFF087F2F07FF50
1674,0.0063970088958740234,0.062190525413777564,1671030742.388408,412#0000000000000000
1691,0.0050661563873291016,0.010543171981553856,1671030742.407169,287#0000000000000000
1701,0.005329132080078125,0.0141810956540519,1671030742.416331,213#FFFF087F2F07FF50
1748,0.005028963088989258,0.008051543381530135,1671030742.456500,213#FFFF087F2F07FF50
1765,0.005594015121459961,0.020122735950283133,1671030742.476563,213#FFFF087F2F07FF50
1775,0.005548954010009766,0.021238379148272424,1671030742.488292,412#0000000000000000
1789,0.0052869319915771484,0.01088417507677586,1671030742.507253,346#000000030300C000
1810,0.005084037780761719,0.010631660552286037,1671030742.527318,2A4#2100000000000000
1845,0.005465984344482422,0.020804647313696245,1671030742.556432,213#FFFF087F2F07FF50
1856,0.005221128463745117,0.01251750593184775,1671030742.567136,2A4#25030B0000000000
1861,0.0048558712005615234,0.0008814123069266211,1671030742.576393,213#FFFF087F2F07FF50
1869,0.006175041198730469,0.04974685132997969,1671030742.588241,3CA#05BC00003C000000
1895,0.00557398796081543,0.020556006256848613,1671030742.616555,213#FFFF087F2F07FF50
1906,0.004992008209228516,0.008564842298421804,1671030742.627316,2A4#2100000000000000
1956,0.005597829818725586,0.020122735950283133,1671030742.656587,213#FFFF087F2F07FF50
1974,0.00564885139465332,0.024032742180205013,1671030742.676637,213#FFFF087F2F07FF50
1983,0.006011009216308594,0.04154647495996644,1671030742.687951,412#0000000000000000
2003,0.004909038543701172,0.0050967096336184126,1671030742.706939,346#000000030300C000
2011,0.005449056625366211,0.020740330749707825,1671030742.716419,213#FFFF087F2F07FF50
2059,0.004868984222412109,0.0008814123069266211,1671030742.756384,213#FFFF087F2F07FF50
2069,0.005023956298828125,0.006777966704564653,1671030742.767022,2A4#25030B0000000000
2073,0.005552053451538086,0.021238379148272424,1671030742.776571,213#FFFF087F2F07FF50
2083,0.004751920700073242,0.0019180832441180184,1671030742.787468,59E#9E00FFFFFFFFFFFF
2090,0.004633188247680664,0.0002378551225624692,1671030742.796425,213#FFFF087F2F07FF50
2110,0.004760026931762695,0.0019180832441180184,1671030742.816377,213#FFFF087F2F07FF50
2120,0.0048749446868896484,0.0017221917073737547,1671030742.827175,2A4#2100000000000000
2155,0.005550861358642578,0.021238379148272424,1671030742.856505,213#FFFF087F2F07FF50
2173,0.005054950714111328,0.010543171981553856,1671030742.876582,213#FFFF087F2F07FF50
2181,0.005885124206542969,0.03860536593595576,1671030742.887885,3CA#05BC00003C000000
2224,0.004781961441040039,0.004448055394224215,1671030742.927096,2A4#2100000000000000
2259,0.005435943603515625,0.021608000884855816,1671030742.956425,213#FFFF087F2F07FF50
2279,0.005579948425292969,0.0192570742757896,1671030742.976557,213#FFFF087F2F07FF50
2289,0.004867076873779297,0.00046144905918765744,1671030742.987716,412#0000000000000000
2325,0.004766941070556641,0.0027602663888438572,1671030743.006876,18B#0000001E00000000
2402,0.004948139190673828,0.008215627069434683,1671030743.056431,213#FFFF087F2F07FF50
2418,0.0054018497467041016,0.01944102501380507,1671030743.076402,213#FFFF087F2F07FF50
2429,0.0048580169677734375,0.0008814123069266211,1671030743.087690,412#0000000000000000
2434,0.004742145538330078,0.0024263696587695227,1671030743.096635,213#FFFF087F2F07FF50
2444,0.0048542022705078125,0.00046144905918765744,1671030743.106794,346#000000030300C000
2453,0.004976034164428711,0.008139682305319584,1671030743.116552,213#FFFF087F2F07FF50
2463,0.00474095344543457,0.0024263696587695227,1671030743.126920,2A4#2100000000000000
2503,0.005584001541137695,0.0192570742757896,1671030743.156564,213#FFFF087F2F07FF50
2514,0.0049190521240234375,0.007727692819241017,1671030743.166949,2A4#25030B0000000000
2522,0.0048410892486572266,0.0003241742978634665,1671030743.176362,213#FFFF087F2F07FF50
2533,0.0054399967193603516,0.021608000884855816,1671030743.187466,3CA#05BC00003C000000
2559,0.005388975143432617,0.018576285188041552,1671030743.216360,213#FFFF087F2F07FF50
2606,0.005561113357543945,0.020122735950283133,1671030743.256555,213#FFFF087F2F07FF50
2624,0.005401134490966797,0.018144353880633513,1671030743.276405,213#FFFF087F2F07FF50
2633,0.00533604621887207,0.015469714158703018,1671030743.287362,412#0000000000000000
2658,0.005663871765136719,0.02665267165204266,1671030743.316624,213#FFFF087F2F07FF50
2707,0.004744052886962891,0.0024263696587695227,1671030743.356401,213#FFFF087F2F07FF50
2722,0.005450010299682617,0.02030693577389242,1671030743.376397,213#FFFF087F2F07FF50
2732,0.004616975784301758,0.00022012852024633212,1671030743.387350,412#0000000000000000
2748,0.004637956619262695,0.0002378551225624692,1671030743.406642,287#0000000000000000
2759,0.004822969436645508,0.0003241742978634665,1671030743.416386,213#FFFF087F2F07FF50
2803,0.0054340362548828125,0.021608000884855816,1671030743.456407,213#FFFF087F2F07FF50
2822,0.005060911178588867,0.010543171981553856,1671030743.476635,213#FFFF087F2F07FF50
2830,0.005326032638549805,0.0141810956540519,1671030743.487298,3CA#05BC00003C000000
2856,0.004951953887939453,0.008278686496098198,1671030743.516371,213#FFFF087F2F07FF50
2902,0.005438089370727539,0.021608000884855816,1671030743.556426,213#FFFF087F2F07FF50
2917,0.005352973937988281,0.015469714158703018,1671030743.576344,213#FFFF087F2F07FF50
2926,0.005138874053955078,0.009954842104039074,1671030743.587122,412#0000000000000000
2951,0.005579948425292969,0.0192570742757896,1671030743.616569,213#FFFF087F2F07FF50
3031,0.005582094192504883,0.0192570742757896,1671030743.676567,213#FFFF087F2F07FF50
3041,0.00465083122253418,0.001077763089574857,1671030743.687394,412#0000000000000000
3069,0.004865169525146484,0.00046144905918765744,1671030743.716376,2A4#1024898200000000
3114,0.005422830581665039,0.021174019053852522,1671030743.756435,2A4#2402000002000002
3130,0.004992961883544922,0.008564842298421804,1671030743.776555,213#FFFF087F2F07FF50
3147,0.004559040069580078,0.00168030865388058,1671030743.796396,213#FFFF087F2F07FF50
3166,0.005262851715087891,0.015167379192471797,1671030743.816279,2A4#1024898200000000
3212,0.005219936370849609,0.012000979382207677,1671030743.856325,2A4#2402000002000002
3229,0.0055310726165771484,0.021672404539169188,1671030743.876640,213#FFFF087F2F07FF50
3238,0.005153179168701172,0.009866448497017566,1671030743.887149,412#0000000000000000
3336,0.005633115768432617,0.02490487053207624,1671030743.976654,213#FFFF087F2F07FF50
3457,0.005311012268066406,0.010820854156643578,1671030744.056318,2A4#2402000002000002
3471,0.004808902740478516,0.004025679820747086,1671030744.071097,167#008000000001E300
3475,0.00467991828918457,0.001558404018892512,1671030744.076372,51E#1E04000000000000
3484,0.004869222640991211,0.0008814123069266211,1671030744.086846,3CA#05BC00003C000000
3509,0.005059003829956055,0.010543171981553856,1671030744.116069,2A4#1024898200000000
3560,0.005215883255004883,0.012000979382207677,1671030744.156365,2A4#2402000002000002
3576,0.00556182861328125,0.020122735950283133,1671030744.176560,213#FFFF087F2F07FF50
3590,0.0048160552978515625,0.0020053614675660247,1671030744.186850,412#0000000000000000
3615,0.004892110824584961,0.0025641095976064454,1671030744.216001,2A4#1024898200000000
3660,0.00466609001159668,0.0005805146168122999,1671030744.250818,167#008000000001E300
3681,0.005432844161987305,0.021608000884855816,1671030744.276434,213#FFFF087F2F07FF50
3760,0.004765987396240234,0.0027602663888438572,1671030744.350784,167#008000000001E300
3762,0.004806041717529297,0.004870716837931388,1671030744.355925,2A4#2402000002000002
3775,0.005063056945800781,0.010543171981553856,1671030744.371002,167#008000000001E300
3779,0.005038022994995117,0.009264543028335348,1671030744.376590,213#FFFF087F2F07FF50
3796,0.004563808441162109,0.0012598050666199345,1671030744.396386,213#FFFF087F2F07FF50
3815,0.0047719478607177734,0.0036035899241493308,1671030744.415897,2A4#1024898200000000
3827,0.004891872406005859,0.0025641095976064454,1671030744.430805,167#008000000001E300
3860,0.004929065704345703,0.007366066872286692,1671030744.455919,2A4#2402000002000002
3878,0.005460023880004883,0.019938063519443938,1671030744.476440,213#FFFF087F2F07FF50
3887,0.004770994186401367,0.0027602663888438572,1671030744.486729,412#0000000000000000
3925,0.004901885986328125,0.0038291244741592845,1671030744.530962,167#008000000001E300
3956,0.004984140396118164,0.008990290046291705,1671030744.550863,167#008000000001E300
3974,0.005324840545654297,0.0141810956540519,1671030744.576403,213#FFFF087F2F07FF50
3990,0.004769802093505859,0.0027602663888438572,1671030744.596588,213#FFFF087F2F07FF50
4084,0.0052890777587890625,0.01088417507677586,1671030744.671112,167#008000000001E300
4088,0.004976987838745117,0.007290224805048817,1671030744.676524,213#FFFF087F2F07FF50
4138,0.004736185073852539,0.0020053614675660247,1671030744.730421,3A6#0E600B045F000000
4185,0.00526881217956543,0.013450619216343718,1671030744.771067,167#008000000001E300
4187,0.0053751468658447266,0.015469714158703018,1671030744.776472,076#BE807FFFFEFFFFF2
4223,0.004634857177734375,0.0002378551225624692,1671030744.815738,2A4#1024898200000000
4236,0.005021095275878906,0.008051543381530135,1671030744.830806,167#008000000001E300
4267,0.00506591796875,0.010543171981553856,1671030744.850797,167#008000000001E300
4285,0.00457310676574707,0.002101096844382311,1671030744.870816,167#008000000001E300
4287,0.005227804183959961,0.012089672525122497,1671030744.876232,076#BE807FFFFEFFFFF2
4299,0.004565000534057617,0.0012598050666199345,1671030744.891028,167#008000000001E300
4303,0.0045680999755859375,0.0012598050666199345,1671030744.896481,076#BE807FFFFEFFFFF2
4371,0.0049588680267333984,0.00870394056935686,1671030744.950784,167#008000000001E300
4391,0.004769802093505859,0.0027602663888438572,1671030744.976276,076#BE807FFFFEFFFFF2
4481,0.005148887634277344,0.009440408152823987,1671030745.030824,167#008000000001E300
4530,0.0054209232330322266,0.021174019053852522,1671030745.070839,167#008000000001E300
4615,0.005273103713989258,0.012593979961777135,1671030745.150824,167#008000000001E300
4634,0.004892110824584961,0.0025641095976064454,1671030745.175909,076#BE807FFFFEFFFFF2
4688,0.004956960678100586,0.008278686496098198,1671030745.230813,167#008000000001E300
4718,0.005296945571899414,0.011738499104071431,1671030745.250891,167#008000000001E300
4735,0.005527019500732422,0.021238379148272424,1671030745.270908,167#008000000001E300
4785,0.0051441192626953125,0.009440408152823987,1671030745.330454,3A6#0E600B045F000000
4834,0.00569915771484375,0.02921955310576818,1671030745.371102,167#008000000001E300
4885,0.005641937255859375,0.02490487053207624,1671030745.430811,167#008000000001E300
4915,0.005655050277709961,0.027090361518680495,1671030745.450850,167#008000000001E300
4947,0.005341768264770508,0.015899835229155612,1671030745.490996,167#008000000001E300
4983,0.005048036575317383,0.009264543028335348,1671030745.530559,3A6#0E600B045F000000
5014,0.005233049392700195,0.012945628902747752,1671030745.550755,167#008000000001E300
5028,0.005672931671142578,0.025060118114827667,1671030745.570822,167#008000000001E300
5064,0.0049860477447509766,0.008564842298421804,1671030745.611150,167#008000000001E300
5078,0.005828142166137695,0.03592157452909006,1671030745.630834,167#008000000001E300
5125,0.004915952682495117,0.008577742689954482,1671030745.650866,167#008000000001E300
5143,0.0057790279388427734,0.03203088495000517,1671030745.670832,167#008000000001E300
5155,0.005667924880981445,0.025406155843362144,1671030745.691082,167#008000000001E300
5195,0.0055141448974609375,0.019938063519443938,1671030745.730477,3A6#0E600B045F000000
5226,0.005499124526977539,0.019938063519443938,1671030745.750806,167#008000000001E300
5242,0.0057430267333984375,0.029684936986173027,1671030745.771118,167#008000000001E300
5277,0.005015134811401367,0.008051543381530135,1671030745.811094,167#008000000001E300
5293,0.005553007125854492,0.022292021908015713,1671030745.830820,167#008000000001E300
5324,0.005260944366455078,0.015167379192471797,1671030745.850777,167#008000000001E300
5340,0.0061910152435302734,0.048388729061344615,1671030745.871099,167#008000000001E300
5356,0.005190134048461914,0.012856815661460796,1671030745.891102,167#008000000001E300
5375,0.0048830509185791016,0.0017221917073737547,1671030745.910386,38D#2000000000000000
5396,0.0055201053619384766,0.021238379148272424,1671030745.930566,3A6#0E600B045F000000
5428,0.005062103271484375,0.010543171981553856,1671030745.950838,167#008000000001E300
5538,0.006014108657836914,0.04154647495996644,1671030746.030852,167#008000000001E300
5569,0.005496025085449219,0.019938063519443938,1671030746.050856,167#008000000001E300
5587,0.0057392120361328125,0.031005056510376328,1671030746.071010,167#008000000001E300
5601,0.006018161773681641,0.041099007592839576,1671030746.091092,167#008000000001E300
5636,0.0055921077728271484,0.020122735950283133,1671030746.130597,3A6#0E600B045F000000
5686,0.005143880844116211,0.009440408152823987,1671030746.170126,331#C00005A30A000002
5728,0.005075931549072266,0.010969958693125226,1671030746.210980,167#008000000001E300
5775,0.0052220821380615234,0.01251750593184775,1671030746.250802,167#008000000001E300
5805,0.006005048751831055,0.04154647495996644,1671030746.291074,167#008000000001E300
5842,0.005788087844848633,0.03414872247128775,1671030746.330557,3A6#0E600B045F000000
5874,0.00563812255859375,0.02490487053207624,1671030746.350862,167#008000000001E300
5891,0.005959987640380859,0.03975842056021539,1671030746.370841,167#008000000001E300
5925,0.004889011383056641,0.0017221917073737547,1671030746.410557,3B8#FFFFFFFF00000000
5942,0.006150960922241211,0.04739118508190465,1671030746.430845,167#008000000001E300
5972,0.005510091781616211,0.019938063519443938,1671030746.451023,167#008000000001E300
5988,0.005369901657104492,0.015469714158703018,1671030746.470084,3B5#FFFDFFFDFFFDFFFD
6004,0.006064176559448242,0.04244231845741109,1671030746.491125,167#008000000001E300
6022,0.0051250457763671875,0.009954842104039074,1671030746.510348,188#4000000000000000
6039,0.005939960479736328,0.04065184287361456,1671030746.530676,3A6#0E600B045F000000
6071,0.0056421756744384766,0.02490487053207624,1671030746.550923,167#008000000001E300
6086,0.006516933441162109,0.06831419563971253,1671030746.571063,167#008000000001E300
6120,0.005238056182861328,0.014231737160973146,1671030746.611027,167#008000000001E300
6135,0.006256103515625,0.05156197448417832,1671030746.630809,167#008000000001E300
6181,0.005127906799316406,0.009528741974167976,1671030746.650142,443#0000000000000000
6200,0.006185054779052734,0.049293837576938504,1671030746.671015,167#008000000001E300
6213,0.006363868713378906,0.06071164245672622,1671030746.691089,167#008000000001E300
6230,0.005276918411254883,0.011738499104071431,1671030746.710227,40A#C102FFFFFFFFFFFF
6252,0.0046689510345458984,0.0005805146168122999,1671030746.730598,3A6#0E600B045F000000
6283,0.005532979965209961,0.021672404539169188,1671030746.751061,167#008000000001E300
6297,0.006555080413818359,0.06831419563971253,1671030746.770839,167#008000000001E300
6335,0.005347013473510742,0.015039884003854587,1671030746.811102,167#008000000001E300
6349,0.0064890384674072266,0.06971280287583559,1671030746.830868,167#008000000001E300
6381,0.005838871002197266,0.0354779116054561,1671030746.851090,167#008000000001E300
6398,0.006911039352416992,0.0841911546916676,1671030746.871114,167#008000000001E300
6411,0.0065898895263671875,0.06914957227277918,1671030746.891027,167#008000000001E300
6431,0.005281209945678711,0.011738499104071431,1671030746.910293,38D#2000000000000000
6453,0.005991935729980469,0.04020498059759303,1671030746.930435,3A6#0E600B045F000000
6484,0.005817890167236328,0.03680980141309009,1671030746.950851,167#008000000001E300
6504,0.005418062210083008,0.021174019053852522,1671030746.969901,3B5#FFFDFFFDFFFDFFFD
6595,0.006516218185424805,0.06831419563971253,1671030747.030810,167#008000000001E300
6626,0.005491018295288086,0.019505211163072467,1671030747.051095,167#008000000001E300
6642,0.0067250728607177734,0.07533570680336943,1671030747.070864,167#008000000001E300
6658,0.006474018096923828,0.06738336670218281,1671030747.091084,167#008000000001E300
6677,0.005672931671142578,0.025060118114827667,1671030747.110358,40A#C110FFFFFFFFFF00
6692,0.00619196891784668,0.048388729061344615,1671030747.130420,3A6#0E600B045F000000
6729,0.0054700374603271484,0.020804647313696245,1671030747.150861,167#008000000001E300
6744,0.005813121795654297,0.0354779116054561,1671030747.169876,331#C00005A40A000002
6801,0.0066318511962890625,0.06868343534425392,1671030747.230871,167#008000000001E300
6831,0.006159067153930664,0.04739118508190465,1671030747.251157,167#008000000001E300
6850,0.0067768096923828125,0.07863687861805091,1671030747.271144,167#008000000001E300
6863,0.00687098503112793,0.0837148442763298,1671030747.291125,167#008000000001E300
6882,0.005631208419799805,0.024032742180205013,1671030747.310125,40A#C000000034790800
6899,0.0065000057220458984,0.06878008266117441,1671030747.330641,3A6#0E600B045F000000
6931,0.005550861358642578,0.021238379148272424,1671030747.351095,167#008000000001E300
6946,0.007272958755493164,0.09963324921016581,1671030747.371132,167#008000000001E300
6983,0.005656003952026367,0.027090361518680495,1671030747.410691,3B8#FFFFFFFF00000000
6998,0.006865024566650391,0.08235833934483916,1671030747.430913,167#008000000001E300
7029,0.0058100223541259766,0.036365537730557285,1671030747.450826,167#008000000001E300
7046,0.005719900131225586,0.031005056510376328,1671030747.470361,3B5#FFFDFFFDFFFDFFFD
7059,0.007174015045166016,0.0942970169260976,1671030747.491155,167#008000000001E300
7078,0.005270957946777344,0.013450619216343718,1671030747.509937,188#4000000000000000
7096,0.00689697265625,0.0841911546916676,1671030747.530639,3A6#0E600B045F000000
7127,0.006184101104736328,0.049293837576938504,1671030747.551177,167#008000000001E300
7143,0.007195949554443359,0.09574841658597077,1671030747.571122,167#008000000001E300
7156,0.004724979400634766,2.7648167341354224e-05,1671030747.588638,290#0000000000000000
7176,0.006143093109130859,0.04739118508190465,1671030747.611017,167#008000000001E300
7192,0.007012844085693359,0.08996045211029002,1671030747.630854,167#008000000001E300
7255,0.006532907485961914,0.06691842436001028,1671030747.671095,167#008000000001E300
7270,0.007091999053955078,0.09526428933007736,1671030747.691140,167#008000000001E300
7288,0.0061109066009521484,0.046488649442426366,1671030747.710373,40A#C101FFFFFFFFFFFF
7340,0.006031990051269531,0.04065184287361456,1671030747.751118,167#008000000001E300
7355,0.007390022277832031,0.10119668679292182,1671030747.771094,167#008000000001E300
7368,0.0051860809326171875,0.012428752760061168,1671030747.788566,290#0000000000000000
7391,0.005836963653564453,0.03503454875655998,1671030747.810893,167#008000000001E300
7406,0.007113933563232422,0.09526428933007736,1671030747.830889,167#008000000001E300
7437,0.006042003631591797,0.03975842056021539,1671030747.851095,167#008000000001E300
7455,0.006615161895751953,0.06914957227277918,1671030747.871112,167#008000000001E300
7469,0.007239103317260742,0.09866006884739964,1671030747.890818,167#008000000001E300
7487,0.007217884063720703,0.09720276522913673,1671030747.911712,38D#2000000000000000
7510,0.005961894989013672,0.03975842056021539,1671030747.930368,3A6#0E600B045F000000
7541,0.005328178405761719,0.0141810956540519,1671030747.950792,167#008000000001E300
7556,0.00642704963684082,0.06450236481311,1671030747.969964,3B5#FFFDFFFDFFFDFFFD
7573,0.004914045333862305,0.008577742689954482,1671030747.988632,091#0E01010C1B180000
7651,0.007230997085571289,0.09866006884739964,1671030748.030916,167#008000000001E300
7683,0.006154775619506836,0.04739118508190465,1671030748.051113,167#008000000001E300
7700,0.0065310001373291016,0.06784862372442346,1671030748.071110,167#008000000001E300
7713,0.007773876190185547,0.11548777203827443,1671030748.091111,167#008000000001E300
7733,0.005686044692993164,0.0268083399574075,1671030748.109953,40A#C104FFFFFFFFFFFF
7749,0.006981849670410156,0.08619871358454523,1671030748.130446,3A6#0E600B045F000000
7785,0.006031036376953125,0.04065184287361456,1671030748.151099,167#008000000001E300
7801,0.006551027297973633,0.06784862372442346,1671030748.170059,331#C00005A50A000002
7816,0.005384922027587891,0.016330247412108645,1671030748.188576,290#0000000000000000
7858,0.007585048675537109,0.10707625000356402,1671030748.231108,167#008000000001E300
7888,0.0054471492767333984,0.020740330749707825,1671030748.251095,167#008000000001E300
7905,0.00637507438659668,0.06071164245672622,1671030748.271120,167#008000000001E300
7920,0.007658958435058594,0.10658446108278197,1671030748.291127,167#008000000001E300
7940,0.006175994873046875,0.04974685132997969,1671030748.310157,40A#C110FFFFFFFFFF00
7955,0.007391929626464844,0.10119668679292182,1671030748.330649,3A6#0E600B045F000000
7988,0.0060710906982421875,0.043788358688266915,1671030748.351164,167#008000000001E300
8004,0.007843971252441406,0.11598558685569749,1671030748.371127,167#008000000001E300
8017,0.005181074142456055,0.012000979382207677,1671030748.388642,290#0000000000000000
8039,0.005936861038208008,0.04065184287361456,1671030748.410538,3B8#FFFFFFFF00000000
8055,0.007989168167114258,0.11897955924886106,1671030748.431122,167#008000000001E300
